,0,1,accuracy,macro avg,weighted avg
precision,0.9767152947857878,0.9941909348008866,0.9822571262361838,0.9854531147933372,0.9825028085904778
recall,0.9972456782517305,0.951987118495206,0.9822571262361838,0.9746163983734683,0.9822571262361838
f1-score,0.9868737223397769,0.9726314215209751,0.9822571262361838,0.979752571930376,0.9821570131074886
support,27593.0,13663.0,0.9822571262361838,41256.0,41256.0
